Customer_ID,Age,Gender,Annual_Income,Occupation,City,Membership_Level,Spending_Score,Purchase_Frequency,Average_Order_Value,Days_Since_Last_Purchase,Preferred_Category,Online_Visits,Discount_Usage,Returns_Count,Tenure_Years,Total_Spending,Payment_Method,Satisfaction_Score
1,56,Female,32205,Teacher,Houston,Platinum,97,14,487.7,39,Home,6,10,6,9,7451.78,Net Banking,5
2,69,Male,71677,Business,New York,Silver,19,39,67.11,145,Toys,16,4,3,10,2752.17,Credit Card,2
3,46,Female,47930,Retired,Dallas,Silver,91,39,388.8,97,Toys,1,27,1,15,17537.91,Credit Card,8
4,32,Male,88313,Student,Boston,Gold,37,9,190.43,247,Toys,22,1,4,0,1568.64,Debit Card,6
5,60,Male,128153,Retired,Dallas,Gold,63,23,433.98,11,Toys,46,13,7,4,10110.53,Cash,6
6,25,Female,33316,Business,San Francisco,Gold,29,12,46.34,23,Fashion,62,27,1,1,540.58,Credit Card,3
7,38,Female,111058,Freelancer,New York,Platinum,60,29,193.61,224,Home,23,12,8,15,6073.14,Debit Card,1
8,56,Female,102876,Business,Houston,Silver,92,38,174.37,244,Fashion,21,13,4,10,6348.07,Cash,8
9,36,Male,100366,Student,Miami,Platinum,34,39,496.65,170,Beauty,51,27,5,13,22413.13,UPI,7
10,40,Female,28403,Freelancer,Boston,Gold,1,22,492.92,31,Sports,95,2,6,7,10802.73,Net Banking,1
11,28,Male,95052,Freelancer,Dallas,Bronze,48,4,103.0,113,Sports,38,7,12,12,417.93,Cash,8
12,28,Female,88495,Other,Los Angeles,Silver,89,48,318.67,208,Home,28,12,8,6,15255.74,Credit Card,10
13,41,Female,111090,Student,Houston,Silver,21,7,272.4,302,Fashion,44,21,6,10,2000.34,Debit Card,2
14,70,Female,51701,Freelancer,Dallas,Platinum,34,40,85.64,34,Sports,91,11,3,5,3439.85,Debit Card,8
15,53,Male,149457,Engineer,Houston,Bronze,26,8,92.21,204,Toys,39,17,4,1,866.75,UPI,5
16,57,Female,72241,Teacher,Boston,Silver,36,35,494.73,265,Beauty,42,17,11,2,14760.62,Debit Card,8
17,41,Female,80030,Retired,San Francisco,Bronze,99,9,231.84,64,Toys,42,16,2,8,1680.45,Credit Card,6
18,20,Male,120185,Engineer,Chicago,Bronze,23,13,71.64,97,Home,60,6,0,8,939.44,Cash,2
19,39,Male,51404,Engineer,Dallas,Bronze,81,39,115.25,184,Electronics,57,21,2,6,4970.53,UPI,7
20,70,Female,70182,Student,Houston,Silver,47,20,141.49,237,Grocery,77,12,12,1,2997.55,Net Banking,6
21,19,Female,47991,Other,Chicago,Gold,76,21,260.35,265,Books,96,12,0,13,6479.32,Net Banking,4
22,41,Female,119601,Student,Chicago,Bronze,44,47,174.42,231,Sports,7,5,4,12,7155.9,Credit Card,9
23,61,Male,80886,Retired,Los Angeles,Silver,20,19,232.96,108,Fashion,51,20,6,11,4769.69,UPI,4
24,47,Male,137002,Teacher,Chicago,Bronze,27,2,91.58,177,Sports,97,18,8,11,206.3,UPI,1
25,55,Male,98848,Business,Boston,Bronze,61,44,170.1,248,Fashion,77,23,3,11,8718.02,Credit Card,3
26,19,Male,72692,Engineer,New York,Silver,37,40,44.46,323,Home,32,18,9,12,1798.71,UPI,8
27,38,Female,52500,Freelancer,Chicago,Bronze,84,30,445.96,359,Home,7,20,13,6,12646.21,Debit Card,3
28,50,Male,48785,Teacher,Miami,Silver,52,23,107.39,4,Grocery,76,23,9,15,2919.86,Debit Card,7
29,29,Male,99146,Engineer,Houston,Bronze,75,40,380.88,156,Toys,40,29,15,0,17011.45,Credit Card,1
30,39,Male,62997,Business,Chicago,Bronze,92,13,181.28,229,Sports,15,27,0,8,2329.16,Credit Card,4
31,61,Female,22170,Other,Seattle,Silver,62,33,242.45,115,Grocery,59,15,6,13,8484.63,Debit Card,4
32,42,Female,86743,Freelancer,New York,Silver,66,32,152.72,260,Fashion,85,2,2,13,4454.2,Cash,9
33,66,Male,50187,Engineer,Phoenix,Bronze,24,28,351.26,315,Beauty,12,13,0,8,10287.08,Credit Card,1
34,44,Male,147965,Doctor,New York,Silver,80,24,423.83,320,Beauty,77,20,3,5,10334.79,Debit Card,9
35,59,Female,53090,Retired,San Francisco,Gold,12,42,150.27,126,Books,42,26,13,9,5148.1,Cash,10
36,45,Female,74412,Teacher,Phoenix,Gold,16,28,128.69,27,Electronics,39,5,15,13,4130.48,Cash,8
37,33,Female,71030,Retired,Los Angeles,Bronze,36,30,343.91,338,Fashion,63,16,15,0,10276.82,Debit Card,10
38,32,Female,32509,Student,New York,Silver,2,41,105.62,227,Fashion,2,15,10,7,4295.32,Debit Card,6
39,64,Female,83653,Engineer,San Francisco,Silver,89,29,323.52,128,Toys,29,1,8,5,8569.33,UPI,4
40,68,Female,144626,Freelancer,New York,Bronze,62,34,56.27,28,Fashion,61,22,14,8,1680.83,Cash,6
41,61,Female,19042,Freelancer,Chicago,Gold,64,22,313.87,178,Home,29,8,5,8,6328.9,Net Banking,6
42,69,Female,52201,Teacher,Dallas,Platinum,29,25,261.57,163,Home,100,12,5,14,6931.55,UPI,2
43,20,Male,29016,Teacher,Dallas,Gold,92,14,65.81,159,Beauty,38,13,6,6,773.06,UPI,7
44,54,Male,40022,Retired,San Francisco,Gold,74,10,328.06,319,Beauty,7,25,0,3,3061.28,Cash,9
45,68,Male,42938,Freelancer,New York,Gold,87,10,228.81,287,Books,30,19,4,10,2726.26,Cash,8
46,24,Male,133171,Freelancer,San Francisco,Silver,96,8,116.39,264,Books,87,20,3,0,846.03,Cash,3
47,38,Male,76720,Freelancer,Los Angeles,Silver,31,14,183.16,296,Beauty,92,11,3,2,3042.89,Credit Card,8
48,26,Male,120514,Engineer,Dallas,Gold,83,45,251.13,24,Sports,56,19,6,5,9514.46,Debit Card,4
49,56,Female,148058,Freelancer,Seattle,Silver,15,38,54.86,144,Sports,87,10,1,14,2329.83,Debit Card,10
50,35,Female,91478,Student,Phoenix,Bronze,55,32,479.23,174,Beauty,36,18,4,0,14965.71,Debit Card,1
51,21,Male,142101,Freelancer,Boston,Bronze,33,45,336.13,7,Grocery,42,9,6,3,13279.39,Cash,3
52,42,Male,109699,Student,Chicago,Gold,81,32,60.24,313,Sports,93,17,2,7,2149.3,UPI,1
53,31,Female,114273,Engineer,Seattle,Bronze,52,3,413.2,108,Home,4,29,13,11,995.14,Cash,5
54,67,Female,78745,Teacher,Seattle,Silver,100,20,168.05,128,Sports,84,2,15,7,3155.5,Cash,10
55,26,Female,147283,Other,Houston,Platinum,20,13,302.43,1,Sports,5,15,1,5,4096.49,UPI,9
56,43,Male,146301,Student,Seattle,Gold,73,23,145.8,9,Sports,46,30,15,13,2992.53,Net Banking,7
57,70,Female,133972,Engineer,Phoenix,Platinum,38,19,369.37,346,Books,75,17,11,5,6547.92,Credit Card,3
58,19,Male,116489,Other,Phoenix,Silver,3,16,364.27,116,Books,2,13,0,2,4875.86,Net Banking,7
59,37,Male,46819,Other,Chicago,Bronze,54,36,280.5,318,Electronics,54,23,4,6,11524.7,Cash,8
60,45,Female,62779,Freelancer,San Francisco,Gold,66,35,128.05,10,Sports,88,16,11,14,4342.22,Debit Card,4
61,64,Female,107244,Engineer,Miami,Bronze,18,47,134.31,95,Grocery,59,4,11,11,5416.93,Debit Card,3
62,24,Male,80584,Other,Miami,Silver,87,47,197.6,92,Books,33,16,4,7,8169.37,UPI,2
63,61,Female,73032,Freelancer,New York,Bronze,83,50,81.06,101,Electronics,22,20,3,14,3688.5,Cash,8
64,25,Female,130074,Retired,New York,Bronze,7,7,175.45,97,Home,47,13,7,1,1095.25,UPI,3
65,64,Male,114273,Engineer,Boston,Silver,35,37,345.33,281,Home,6,2,15,12,12794.11,UPI,7
66,52,Female,43036,Other,Phoenix,Bronze,84,8,417.11,294,Sports,24,30,1,14,3877.75,Credit Card,2
67,31,Male,86356,Teacher,New York,Silver,84,25,172.97,347,Fashion,93,24,14,4,3777.52,UPI,5
68,34,Male,18052,Student,Houston,Gold,83,23,124.46,155,Electronics,49,14,15,5,2809.27,Cash,5
69,53,Female,59377,Retired,New York,Bronze,80,10,417.99,144,Books,96,11,12,0,4453.98,Credit Card,9
70,67,Male,82819,Teacher,Los Angeles,Bronze,85,30,446.44,363,Home,94,16,11,11,11699.2,Debit Card,8
71,57,Male,128689,Doctor,Los Angeles,Silver,93,33,210.91,210,Sports,51,25,3,4,5996.74,Credit Card,8
72,21,Female,45461,Freelancer,Houston,Silver,60,11,23.18,154,Toys,41,16,4,2,219.83,Cash,10
73,19,Female,35750,Other,Seattle,Platinum,24,35,350.53,241,Grocery,67,23,8,2,14143.11,Net Banking,2
74,23,Female,24472,Student,Los Angeles,Bronze,93,27,394.18,75,Toys,89,18,15,5,11542.25,Credit Card,2
75,59,Male,84263,Teacher,Miami,Gold,95,3,18.83,322,Beauty,92,26,2,10,52.79,Net Banking,10
76,21,Male,127036,Student,Miami,Silver,39,47,301.57,174,Home,79,6,12,0,16456.12,Credit Card,7
77,46,Female,40523,Doctor,Los Angeles,Silver,12,49,298.3,110,Sports,81,25,0,15,17268.44,Credit Card,4
78,35,Male,118262,Business,New York,Bronze,94,50,195.57,17,Fashion,2,4,13,4,9380.61,UPI,3
79,43,Female,81060,Freelancer,Boston,Silver,53,8,377.39,290,Grocery,91,1,3,4,3031.74,Net Banking,3
80,61,Female,24079,Freelancer,Boston,Bronze,64,13,219.81,273,Home,100,15,9,4,2695.32,Net Banking,7
81,51,Male,75726,Engineer,Miami,Bronze,4,42,341.62,237,Electronics,78,29,5,2,12784.42,Credit Card,1
82,27,Female,107906,Other,Los Angeles,Silver,94,3,263.39,197,Grocery,43,12,6,5,878.67,Cash,4
83,53,Male,31532,Freelancer,Seattle,Gold,5,20,131.75,161,Sports,32,10,3,10,2792.11,Cash,6
84,31,Male,137689,Freelancer,Chicago,Gold,16,46,307.19,199,Books,12,6,3,0,13378.37,Net Banking,9
85,48,Female,58162,Teacher,New York,Silver,27,45,371.09,233,Home,23,22,5,13,13455.29,UPI,1
86,65,Male,149821,Retired,New York,Silver,4,35,487.21,339,Home,16,2,0,9,18850.85,UPI,1
87,32,Female,26353,Freelancer,Boston,Silver,72,13,196.25,42,Fashion,44,5,4,12,2528.16,Cash,2
88,25,Male,127313,Freelancer,Los Angeles,Platinum,48,20,41.59,81,Home,2,4,15,0,689.76,UPI,7
89,31,Male,43477,Other,San Francisco,Silver,8,24,494.11,26,Books,7,0,10,10,10077.48,Credit Card,7
90,40,Male,101373,Doctor,Dallas,Bronze,81,9,315.67,303,Grocery,21,0,2,1,2986.92,Credit Card,5
91,57,Female,19551,Retired,Los Angeles,Bronze,46,30,473.76,68,Home,58,17,7,3,14476.2,Net Banking,4
92,38,Male,83359,Doctor,Houston,Silver,44,25,60.88,198,Toys,95,22,4,9,1364.0,Debit Card,10
93,33,Female,141150,Other,Los Angeles,Silver,67,16,177.6,215,Grocery,23,2,6,14,2432.27,Cash,6
94,62,Male,62636,Student,New York,Bronze,91,8,75.63,123,Beauty,60,24,7,8,698.15,Cash,8
95,35,Male,44685,Student,Chicago,Gold,52,44,419.4,15,Books,25,18,7,9,15758.39,Debit Card,7
96,64,Female,66134,Freelancer,Houston,Gold,34,28,441.37,125,Beauty,35,9,12,7,10310.22,UPI,2
